tag,zona,tabela,registros
V1_rep1,bronze,dados,8000
V1_rep1,silver,gps,1000
V1_rep1,silver,sensor,105
V1_rep1,silver,relt_intel,1000
V1_rep1,silver,paf,1000
V1_rep1,silver,obstaculo,1000
V1_rep1,silver,seg_area,1000
V1_rep1,silver,pessoal,1000
V1_rep1,silver,material,1000
V1_rep2,bronze,dados,8000
V1_rep2,silver,gps,1000
V1_rep2,silver,sensor,105
V1_rep2,silver,relt_intel,1000
V1_rep2,silver,paf,1000
V1_rep2,silver,obstaculo,1000
V1_rep2,silver,seg_area,1000
V1_rep2,silver,pessoal,1000
V1_rep2,silver,material,1000
V1_rep3,bronze,dados,8000
V1_rep3,silver,gps,1000
V1_rep3,silver,sensor,105
V1_rep3,silver,relt_intel,1000
V1_rep3,silver,paf,1000
V1_rep3,silver,obstaculo,1000
V1_rep3,silver,seg_area,1000
V1_rep3,silver,pessoal,1000
V1_rep3,silver,material,1000
V2_rep1,bronze,dados,80000
V2_rep1,silver,gps,10000
V2_rep1,silver,sensor,105
V2_rep1,silver,relt_intel,10000
V2_rep1,silver,paf,10000
V2_rep1,silver,obstaculo,10000
V2_rep1,silver,seg_area,10000
V2_rep1,silver,pessoal,10000
V2_rep1,silver,material,10000
V2_rep2,bronze,dados,80000
V2_rep2,silver,gps,10000
V2_rep2,silver,sensor,105
V2_rep2,silver,relt_intel,10000
V2_rep2,silver,paf,10000
V2_rep2,silver,obstaculo,10000
V2_rep2,silver,seg_area,10000
V2_rep2,silver,pessoal,10000
V2_rep2,silver,material,10000
V2_rep3,bronze,dados,80000
V2_rep3,silver,gps,10000
V2_rep3,silver,sensor,105
V2_rep3,silver,relt_intel,10000
V2_rep3,silver,paf,10000
V2_rep3,silver,obstaculo,10000
V2_rep3,silver,seg_area,10000
V2_rep3,silver,pessoal,10000
V2_rep3,silver,material,10000
V3_rep1,bronze,dados,800000
V3_rep1,silver,gps,100000
V3_rep1,silver,sensor,105
V3_rep1,silver,relt_intel,100000
V3_rep1,silver,paf,100000
V3_rep1,silver,obstaculo,100000
V3_rep1,silver,seg_area,100000
V3_rep1,silver,pessoal,100000
V3_rep1,silver,material,100000
V3_rep2,bronze,dados,800000
V3_rep2,silver,gps,100000
V3_rep2,silver,sensor,105
V3_rep2,silver,relt_intel,100000
V3_rep2,silver,paf,100000
V3_rep2,silver,obstaculo,100000
V3_rep2,silver,seg_area,100000
V3_rep2,silver,pessoal,100000
V3_rep2,silver,material,100000
V3_rep3,bronze,dados,800000
V3_rep3,silver,gps,100000
V3_rep3,silver,sensor,105
V3_rep3,silver,relt_intel,100000
V3_rep3,silver,paf,100000
V3_rep3,silver,obstaculo,100000
V3_rep3,silver,seg_area,100000
V3_rep3,silver,pessoal,100000
V3_rep3,silver,material,100000
C1_rep1,bronze,dados,800000
C1_rep1,silver,gps,100000
C1_rep1,silver,sensor,105
C1_rep1,silver,relt_intel,100000
C1_rep1,silver,paf,100000
C1_rep1,silver,obstaculo,100000
C1_rep1,silver,seg_area,100000
C1_rep1,silver,pessoal,100000
C1_rep1,silver,material,100000
C1_rep2,bronze,dados,800000
C1_rep2,silver,gps,100000
C1_rep2,silver,sensor,105
C1_rep2,silver,relt_intel,100000
C1_rep2,silver,paf,100000
C1_rep2,silver,obstaculo,100000
C1_rep2,silver,seg_area,100000
C1_rep2,silver,pessoal,100000
C1_rep2,silver,material,100000
C1_rep3,bronze,dados,800000
C1_rep3,silver,gps,100000
C1_rep3,silver,sensor,105
C1_rep3,silver,relt_intel,100000
C1_rep3,silver,paf,100000
C1_rep3,silver,obstaculo,100000
C1_rep3,silver,seg_area,100000
C1_rep3,silver,pessoal,100000
C1_rep3,silver,material,100000
C2_rep1,bronze,dados,800000
C2_rep1,silver,gps,100000
C2_rep1,silver,sensor,105
C2_rep1,silver,relt_intel,100000
C2_rep1,silver,paf,100000
C2_rep1,silver,obstaculo,100000
C2_rep1,silver,seg_area,100000
C2_rep1,silver,pessoal,100000
C2_rep1,silver,material,100000
C2_rep2,bronze,dados,800000
C2_rep2,silver,gps,100000
C2_rep2,silver,sensor,105
C2_rep2,silver,relt_intel,100000
C2_rep2,silver,paf,100000
C2_rep2,silver,obstaculo,100000
C2_rep2,silver,seg_area,100000
C2_rep2,silver,pessoal,100000
C2_rep2,silver,material,100000
C2_rep3,bronze,dados,800000
C2_rep3,silver,gps,100000
C2_rep3,silver,sensor,105
C2_rep3,silver,relt_intel,100000
C2_rep3,silver,paf,100000
C2_rep3,silver,obstaculo,100000
C2_rep3,silver,seg_area,100000
C2_rep3,silver,pessoal,100000
C2_rep3,silver,material,100000
C4_rep1,bronze,dados,800000
C4_rep1,silver,gps,100000
C4_rep1,silver,sensor,105
C4_rep1,silver,relt_intel,100000
C4_rep1,silver,paf,100000
C4_rep1,silver,obstaculo,100000
C4_rep1,silver,seg_area,100000
C4_rep1,silver,pessoal,100000
C4_rep1,silver,material,100000
C4_rep2,bronze,dados,800000
C4_rep2,silver,gps,100000
C4_rep2,silver,sensor,105
C4_rep2,silver,relt_intel,100000
C4_rep2,silver,paf,100000
C4_rep2,silver,obstaculo,100000
C4_rep2,silver,seg_area,100000
C4_rep2,silver,pessoal,100000
C4_rep2,silver,material,100000
C4_rep3,bronze,dados,800000
C4_rep3,silver,gps,100000
C4_rep3,silver,sensor,105
C4_rep3,silver,relt_intel,100000
C4_rep3,silver,paf,100000
C4_rep3,silver,obstaculo,100000
C4_rep3,silver,seg_area,100000
C4_rep3,silver,pessoal,100000
C4_rep3,silver,material,100000
