tag,tabela,n_arquivos,tamanho_mb
V1_rep1,silver.gps,7,0.07
V1_rep1,silver.sensor,7,0.043
V1_rep1,silver.relt_intel,7,0.114
V1_rep1,silver.paf,7,0.087
V1_rep1,silver.obstaculo,7,0.088
V1_rep1,silver.seg_area,7,0.089
V1_rep1,silver.pessoal,7,0.075
V1_rep1,silver.material,7,0.051
V1_rep2,silver.gps,7,0.07
V1_rep2,silver.sensor,7,0.043
V1_rep2,silver.relt_intel,7,0.114
V1_rep2,silver.paf,7,0.087
V1_rep2,silver.obstaculo,7,0.087
V1_rep2,silver.seg_area,7,0.089
V1_rep2,silver.pessoal,7,0.075
V1_rep2,silver.material,7,0.05
V1_rep3,silver.gps,7,0.071
V1_rep3,silver.sensor,7,0.043
V1_rep3,silver.relt_intel,7,0.114
V1_rep3,silver.paf,7,0.087
V1_rep3,silver.obstaculo,7,0.088
V1_rep3,silver.seg_area,7,0.089
V1_rep3,silver.pessoal,7,0.076
V1_rep3,silver.material,7,0.05
V2_rep1,silver.gps,7,0.333
V2_rep1,silver.sensor,7,0.043
V2_rep1,silver.relt_intel,7,0.695
V2_rep1,silver.paf,7,0.474
V2_rep1,silver.obstaculo,7,0.517
V2_rep1,silver.seg_area,7,0.477
V2_rep1,silver.pessoal,7,0.345
V2_rep1,silver.material,7,0.129
V2_rep2,silver.gps,7,0.325
V2_rep2,silver.sensor,7,0.043
V2_rep2,silver.relt_intel,7,0.696
V2_rep2,silver.paf,7,0.474
V2_rep2,silver.obstaculo,7,0.51
V2_rep2,silver.seg_area,7,0.476
V2_rep2,silver.pessoal,7,0.344
V2_rep2,silver.material,7,0.131
V2_rep3,silver.gps,7,0.333
V2_rep3,silver.sensor,7,0.043
V2_rep3,silver.relt_intel,7,0.695
V2_rep3,silver.paf,7,0.474
V2_rep3,silver.obstaculo,7,0.516
V2_rep3,silver.seg_area,7,0.478
V2_rep3,silver.pessoal,7,0.345
V2_rep3,silver.material,7,0.128
V3_rep1,silver.gps,7,2.526
V3_rep1,silver.sensor,7,0.043
V3_rep1,silver.relt_intel,7,6.356
V3_rep1,silver.paf,7,4.215
V3_rep1,silver.obstaculo,7,4.421
V3_rep1,silver.seg_area,7,4.255
V3_rep1,silver.pessoal,7,3.006
V3_rep1,silver.material,7,0.929
V3_rep2,silver.gps,7,2.511
V3_rep2,silver.sensor,7,0.043
V3_rep2,silver.relt_intel,7,6.377
V3_rep2,silver.paf,7,4.243
V3_rep2,silver.obstaculo,7,4.399
V3_rep2,silver.seg_area,7,4.263
V3_rep2,silver.pessoal,7,3.003
V3_rep2,silver.material,7,0.921
V3_rep3,silver.gps,7,2.542
V3_rep3,silver.sensor,7,0.043
V3_rep3,silver.relt_intel,7,6.38
V3_rep3,silver.paf,7,4.249
V3_rep3,silver.obstaculo,7,4.422
V3_rep3,silver.seg_area,7,4.275
V3_rep3,silver.pessoal,7,3.05
V3_rep3,silver.material,7,0.953
C1_rep1,silver.gps,7,2.527
C1_rep1,silver.sensor,7,0.043
C1_rep1,silver.relt_intel,7,6.352
C1_rep1,silver.paf,7,4.218
C1_rep1,silver.obstaculo,7,4.408
C1_rep1,silver.seg_area,7,4.268
C1_rep1,silver.pessoal,7,3.004
C1_rep1,silver.material,7,0.919
C1_rep2,silver.gps,7,2.522
C1_rep2,silver.sensor,7,0.043
C1_rep2,silver.relt_intel,7,6.365
C1_rep2,silver.paf,7,4.222
C1_rep2,silver.obstaculo,7,4.416
C1_rep2,silver.seg_area,7,4.277
C1_rep2,silver.pessoal,7,3.006
C1_rep2,silver.material,7,0.921
C1_rep3,silver.gps,7,2.516
C1_rep3,silver.sensor,7,0.043
C1_rep3,silver.relt_intel,7,6.363
C1_rep3,silver.paf,7,4.262
C1_rep3,silver.obstaculo,7,4.461
C1_rep3,silver.seg_area,7,4.266
C1_rep3,silver.pessoal,7,3.003
C1_rep3,silver.material,7,0.92
C2_rep1,silver.gps,7,2.509
C2_rep1,silver.sensor,7,0.043
C2_rep1,silver.relt_intel,7,6.39
C2_rep1,silver.paf,7,4.23
C2_rep1,silver.obstaculo,7,4.431
C2_rep1,silver.seg_area,7,4.264
C2_rep1,silver.pessoal,7,3.011
C2_rep1,silver.material,7,0.922
C2_rep2,silver.gps,7,2.531
C2_rep2,silver.sensor,7,0.043
C2_rep2,silver.relt_intel,7,6.342
C2_rep2,silver.paf,7,4.244
C2_rep2,silver.obstaculo,7,4.409
C2_rep2,silver.seg_area,7,4.26
C2_rep2,silver.pessoal,7,3.013
C2_rep2,silver.material,7,0.921
C2_rep3,silver.gps,7,2.528
C2_rep3,silver.sensor,7,0.043
C2_rep3,silver.relt_intel,7,6.352
C2_rep3,silver.paf,7,4.25
C2_rep3,silver.obstaculo,7,4.39
C2_rep3,silver.seg_area,7,4.258
C2_rep3,silver.pessoal,7,3.008
C2_rep3,silver.material,7,0.925
C4_rep1,silver.gps,7,2.562
C4_rep1,silver.sensor,7,0.043
C4_rep1,silver.relt_intel,7,6.413
C4_rep1,silver.paf,7,4.273
C4_rep1,silver.obstaculo,7,4.437
C4_rep1,silver.seg_area,7,4.244
C4_rep1,silver.pessoal,7,3.001
C4_rep1,silver.material,7,0.918
C4_rep2,silver.gps,7,2.533
C4_rep2,silver.sensor,7,0.043
C4_rep2,silver.relt_intel,7,6.399
C4_rep2,silver.paf,7,4.269
C4_rep2,silver.obstaculo,7,4.434
C4_rep2,silver.seg_area,7,4.287
C4_rep2,silver.pessoal,7,3.005
C4_rep2,silver.material,7,0.927
C4_rep3,silver.gps,7,2.521
C4_rep3,silver.sensor,7,0.043
C4_rep3,silver.relt_intel,7,6.354
C4_rep3,silver.paf,7,4.246
C4_rep3,silver.obstaculo,7,4.399
C4_rep3,silver.seg_area,7,4.249
C4_rep3,silver.pessoal,7,3.006
C4_rep3,silver.material,7,0.919
